elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.0018,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.1635,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,0.1635,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0514,1.3946,0.0,0.0,0.0,0.0,0,0,0,0,13,0,0,0,0,2,0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1399,1.3946,0.0,0.0,0.0,0.0,0,0,0,0,13,1,0,0,0,2,0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2644,1.3946,0.0,0.0,0.0,0.0,1,0,1,0,13,1,0,10,0,2,0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,13,4,0,2193,0,2,0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.3946,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.6554,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.9278,1.6554,0.0,0.0,0.0,0.0,4,0,4,0,15,4,0,2193,0,2,0
94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0163,2.1958,0.0,0.0,0.0,0.0,4,0,4,0,15,5,0,2193,0,2,0
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0163,3.6504,0.0,0.0,0.0,0.0,4,0,4,0,15,5,0,2193,0,2,0
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0163,3.6504,0.0,0.0,0.0,0.0,4,0,4,0,15,5,0,2193,0,2,0
97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.2804,3.6504,0.0,0.0,0.0,0.0,5,0,5,0,15,6,0,2657,0,2,0
98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,15,7,0,6503,0,2,0
119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,16,7,0,6503,0,2,0
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0996,3.6504,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
138.0,0.0,0.3493,0.3493,0.0,0.3493,0.0,0.0,0,0,0,2.0996,3.9997,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
139.0,0.0,0.3493,0.3493,0.0,0.3493,0.0,0.0,0,0,0,2.0996,3.9997,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
140.0,0.0,0.3493,0.3493,0.0,0.3493,0.0,0.0,0,0,0,2.0996,3.9997,0.0,0.0,0.0,0.0,9,0,9,0,17,7,0,6503,0,2,0
141.0,0.0,0.6927,0.6927,0.0,0.6927,0.0,0.0,0,0,0,2.4492,4.3431,0.0,0.0,0.0,0.0,10,0,10,0,17,7,0,8620,0,2,0
142.0,0.0,1.508,1.508,0.0,1.508,0.0,0.0,0,0,0,2.4492,5.1583,0.0,0.0,0.0,0.0,10,0,10,0,17,7,0,8620,0,2,0
143.0,0.0,2.7872,2.7872,0.0,2.7872,0.0,0.0,0,0,0,2.4492,6.4376,0.0,0.0,0.0,0.0,10,0,10,0,17,7,0,8620,0,2,0
144.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,2.5846,6.8746,0.0,0.0,0.0,0.0,11,0,11,0,17,7,0,9215,0,2,0
145.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.0346,6.8746,0.0,0.0,0.0,0.0,12,0,12,0,17,8,0,11386,0,2,0
146.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.537,6.8746,0.0,0.0,0.0,0.0,14,0,14,0,17,8,0,13464,0,2,0
147.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
148.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
149.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
150.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
151.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
152.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
153.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
154.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
155.0,0.0,3.2242,3.2242,0.0,3.2242,0.0,0.0,0,0,0,3.8787,6.8746,0.0,0.0,0.0,0.0,16,0,16,0,17,8,0,15510,0,2,0
